Canton (-) / District (>>) / Commune (......);Nationalit? - Total;Suisse;Albanie;Allemagne;France;Royaume-Uni;Italie;Autriche;Portugal;Espagne;Turquie;Kosovo
......0554 Wiler bei Utzenstorf;839;809;0;20;0;3;1;2;0;0;1;0
......0556 Zielebach;332;312;0;7;0;0;5;0;3;1;0;0
......0901 Eggiwil;2421;2379;0;21;0;0;1;0;1;1;0;1
......0902 Langnau im Emmental;9107;8477;0;110;5;8;45;6;10;6;19;82
......0903 Lauperswil;2637;2537;0;26;3;0;7;5;5;0;1;4
......0904 R?thenbach im Emmental;1205;1190;0;5;0;1;3;0;0;0;0;0
......0905 R?derswil;2313;2265;0;18;0;0;3;2;0;0;0;3
......0906 Schangnau;887;866;0;9;0;0;0;0;0;0;0;0
......0907 Signau;2714;2589;0;24;1;0;1;4;3;2;1;37
......0908 Trub;1346;1324;0;12;0;0;1;0;0;0;0;0
......0909 Trubschachen;1413;1309;0;13;1;0;2;1;0;0;0;8
......0951 Affoltern im Emmental;1167;1118;0;25;2;0;1;0;0;1;0;0
......0952 D?rrenroth;1080;1051;0;16;0;0;2;0;0;1;0;0
......0955 L?tzelfl?h;4054;3824;0;99;1;3;16;4;2;0;11;11
......0956 R?egsau;3162;3027;1;39;1;1;13;2;3;0;6;1
......0957 Sumiswald;5034;4742;0;55;0;6;12;7;0;5;8;57
......0958 Trachselwald;980;943;0;25;1;2;1;0;0;0;0;0
>> Verwaltungskreis Bern-Mittelland;402520;334223;83;13355;1224;856;8932;1478;3303;3543;2638;3043
......0307 Meikirch;2397;2241;0;60;1;5;13;2;23;7;0;0
......0351 Bern;130015;97646;51;6221;755;383;4186;648;1582;2155;1148;1211
......0352 Bolligen;6053;5574;0;144;11;9;52;11;40;38;5;9
......0353 Bremgarten bei Bern;4353;3934;0;143;11;4;47;17;20;24;0;9
......0354 Kirchlindach;2900;2684;0;67;4;3;17;3;11;7;1;1
......0355 K?niz;39998;32968;8;1182;118;105;1118;212;316;379;285;221
......0356 Muri bei Bern;12967;10993;1;470;50;72;174;52;29;53;31;32
......0357 Oberbalm;887;836;0;22;2;0;5;2;1;0;2;1
......0358 Stettlen;3005;2651;1;113;1;5;58;9;4;18;14;14
......0359 Vechigen;5075;4686;0;153;9;10;43;16;2;3;2;4
......0360 Wohlen bei Bern;9011;8148;0;207;22;8;100;18;12;31;60;63
......0361 Zollikofen;10097;8057;0;304;19;6;272;25;65;74;147;160
......0362 Ittigen;11250;8823;1;369;7;12;263;47;138;87;144;119
......0363 Ostermundigen;16694;11956;9;447;45;29;854;79;460;262;282;241
......0403 B?riswil;1037;977;0;21;0;0;17;2;6;1;0;2
......0535 Deisswil bei M?nchenbuchsee;85;84;0;1;0;0;0;0;0;0;0;0
......0536 Diemerswil;200;193;0;6;0;0;0;0;0;0;0;0
......0538 Fraubrunnen;4867;4574;0;114;2;7;24;13;9;7;13;19
......0540 Jegenstorf;5502;5012;0;134;7;9;71;5;15;11;11;15
......0541 Iffwil;430;415;0;5;0;0;0;0;4;0;0;0
......0543 Mattstetten;556;540;0;2;1;0;2;1;1;1;0;0
......0544 Moosseedorf;3967;3186;1;96;7;7;71;8;38;23;59;110
......0546 M?nchenbuchsee;9871;8307;0;209;13;13;218;26;30;55;125;140
......0551 Urtenen-Sch?nb?hl;6180;5068;0;166;5;10;118;20;89;43;58;101
......0553 Wiggiswil;98;87;0;4;0;0;0;0;0;0;0;0
......0557 Zuzwil (BE);571;552;0;10;1;0;1;0;4;0;0;0
......0602 Arni (BE);925;897;0;12;0;1;0;5;1;0;0;0
......0603 Biglen;1748;1624;0;38;0;0;21;3;6;1;0;8
......0605 Bowil;1358;1329;0;17;0;0;4;1;1;1;0;1
......0606 Brenzikofen;523;509;0;9;0;0;1;0;0;0;0;0
......0607 Freimettigen;457;429;0;9;1;0;0;1;1;0;0;0
......0608 Grossh?chstetten;3503;3163;0;100;4;0;58;6;12;7;1;15
......0609 H?utligen;242;241;0;1;0;0;0;0;0;0;0;0
......0610 Herbligen;584;555;0;22;0;1;1;0;0;0;0;0
......0611 Kiesen;927;881;0;19;0;0;4;3;2;0;0;0
......0612 Konolfingen;5054;4589;0;81;7;2;66;13;20;6;6;41
......0613 Landiswil;631;619;0;7;0;0;0;2;0;1;0;0
......0614 Linden;1283;1227;0;28;12;0;1;4;2;0;0;3
......0615 Mirchel;612;596;0;4;0;0;5;0;5;0;0;0
......0616 M?nsingen;11646;10441;1;235;9;14;205;24;43;43;18;74
......0617 Niederh?nigen;610;595;0;5;2;0;0;1;0;0;0;1
......0619 Oberdiessbach;3506;3262;0;70;4;3;16;8;5;5;2;3
......0620 Oberthal;747;732;0;8;0;1;1;0;0;0;0;0
......0622 Oppligen;658;625;3;8;1;0;2;0;1;1;0;8
......0623 Rubigen;2921;2716;0;55;1;1;32;10;3;4;0;3
......0624 Schlosswil;632;615;0;8;0;0;4;0;0;1;0;0
......0625 T?gertschi;393;373;0;8;0;0;1;1;6;1;0;0
......0626 Walkringen;1820;1724;0;43;0;0;7;2;1;2;1;6
......0627 Worb;11423;9716;0;322;18;45;210;22;50;44;84;124
......0628 Z?ziwil;1616;1491;0;29;0;1;14;6;5;3;9;0
......0629 Oberh?nigen;319;308;0;8;0;0;1;0;0;0;0;0
......0630 Allmendingen;553;509;0;20;0;3;3;0;2;0;0;0
......0632 Wichtrach;4107;3845;5;81;1;3;53;7;21;7;7;3
......0661 Clavaleyres;48;46;0;0;0;0;0;0;0;0;0;0
......0662 Ferenbalm;1228;1126;0;28;0;1;10;4;3;2;0;18
......0663 Frauenkappelen;1206;1118;0;35;2;1;15;1;2;5;6;0
......0664 Golaten;318;284;0;2;1;0;1;1;20;0;0;0
......0665 Gurbr?;245;226;0;1;0;0;1;0;0;0;0;4
......0666 Kriechenwil;430;408;0;5;1;0;5;4;0;0;0;0
......0667 Laupen;2930;2546;0;112;8;10;44;4;11;6;3;32
......0668 M?hleberg;2826;2585;0;90;2;3;16;9;20;3;0;6
......0669 M?nchenwiler;483;429;0;7;2;0;7;1;0;1;0;2
......0670 Neuenegg;4948;4402;0;111;4;5;90;25;49;18;19;16
......0671 Wileroltigen;383;336;0;10;1;2;3;1;7;1;0;4
......0852 Guggisberg;1562;1527;0;17;1;0;3;0;1;0;0;0
......0853 R?schegg;1627;1554;0;39;0;4;2;1;1;1;0;0
......0855 Schwarzenburg;6779;6400;0;153;9;2;33;11;7;3;1;18
......0861 Belp;11466;10023;2;317;26;19;154;44;51;60;40;106
......0865 Gelterfingen;258;241;0;4;0;0;1;0;0;0;0;0
......0866 Gerzensee;1176;1101;0;37;1;2;3;0;5;0;0;0
......0868 Jaberg;253;244;0;5;0;0;3;0;0;0;0;0
......0869 Kaufdorf;1039;948;0;41;1;9;2;2;1;5;0;10
......0870 Kehrsatz;4210;3306;0;142;7;10;66;7;27;14;45;58
......0872 Kirchdorf (BE);921;870;0;26;0;2;2;1;2;0;0;0
......0873 Kirchenthurnen;278;270;0;5;0;0;0;0;0;0;0;0
......0874 Lohnstorf;235;226;0;4;0;0;1;0;1;0;0;0
......0875 M?hledorf (BE);247;236;0;4;0;2;0;1;0;0;0;0
......0876 M?hlethurnen;1391;1316;0;34;1;1;1;3;0;1;0;1
......0877 Niedermuhlern;466;449;0;10;0;0;1;0;1;0;0;0
......0878 Noflen;292;280;0;5;0;0;1;0;0;0;0;0
......0879 Riggisberg;2460;2324;0;44;0;0;15;7;3;2;2;0
......0880 R?eggisberg;1810;1760;0;25;0;2;1;5;0;1;0;0
......0881 R?mligen;427;407;0;14;0;0;0;1;2;1;0;0
......0884 Toffen;2536;2333;0;75;0;9;15;5;2;12;7;6
......0888 Wald (BE);1178;1099;0;36;6;0;2;5;1;1;0;0
>> Verwaltungskreis Thun;106238;96096;4;2449;115;65;1052;222;1014;320;207;885
......0767 Reutigen;989;941;0;10;0;2;4;1;3;0;0;12
......0770 Stocken-H?fen;971;933;0;22;1;0;2;1;1;0;0;0
......0863 Burgistein;1040;1009;0;8;0;1;2;0;1;0;5;1
......0867 Gurzelen;848;827;0;8;1;0;1;1;0;1;0;0
......0883 Seftigen;2188;2054;0;32;1;2;9;2;13;6;2;14
......0885 Uttigen;1901;1810;0;29;2;0;2;0;1;3;0;4
......0886 Wattenwil;2828;2742;1;45;1;0;7;5;2;2;2;0
......0921 Amsoldingen;791;766;0;9;0;1;2;0;0;0;0;7
......0922 Blumenstein;1167;1128;0;24;0;1;1;2;0;3;0;1
......0923 Buchholterberg;1550;1503;0;37;0;0;0;0;1;0;0;0
......0924 Eriz;485;470;0;6;7;0;0;1;0;0;0;0
......0925 Fahrni;790;770;0;3;4;1;0;4;0;0;0;1
......0927 Heiligenschwendi;681;615;0;29;0;1;2;2;12;3;0;0
......0928 Heimberg;6631;5979;0;156;2;3;62;20;70;12;22;66
......0929 Hilterfingen;4049;3728;0;139;4;6;14;12;11;11;4;12
......0931 Homberg;517;509;0;5;0;0;1;1;0;0;0;0
......0932 Horrenbach-Buchen;250;247;0;1;0;0;0;0;1;0;0;0
......0934 Oberhofen am Thunersee;2390;2158;0;89;7;3;15;6;3;8;0;3
......0935 Oberlangenegg;474;467;0;2;0;0;0;0;0;0;0;0
......0936 Pohlern;257;245;0;6;0;0;0;0;4;0;0;0
......0937 Schwendibach;239;236;0;2;0;0;0;0;0;0;0;0
......0938 Sigriswil;4671;4208;0;229;10;4;13;7;83;6;1;1
......0939 Steffisburg;15703;14075;0;272;19;7;214;37;238;58;15;136
......0940 Teuffenthal (BE);162;157;0;2;0;0;1;0;0;0;0;0
......0941 Thierachern;2458;2358;0;37;2;4;6;6;1;8;2;1
......0942 Thun;43303;37725;3;1139;53;25;652;107;494;186;152;579
......0943 Uebeschi;674;658;0;7;0;0;1;1;0;0;0;0
......0944 Uetendorf;6008;5611;0;79;1;3;38;5;67;11;2;47
......0945 Unterlangenegg;914;896;0;6;0;1;1;1;0;2;0;0
......0946 Wachseldorn;236;233;0;1;0;0;1;0;0;0;0;0
......0947 Zwieselberg;309;305;0;3;0;0;0;0;1;0;0;0
......0948 Forst-L?ngenb?hl;764;733;0;12;0;0;1;0;7;0;0;0
>> Verwaltungskreis Obersimmental-Saanen;16777;13856;0;679;161;115;185;61;784;107;1;65
......0791 Boltigen;1301;1254;0;14;1;1;3;3;4;0;0;0
......0792 Lenk;2427;2085;0;104;4;0;10;12;99;3;0;1
......0793 St. Stephan;1342;1224;0;43;0;0;8;2;31;0;0;1
......0794 Zweisimmen;3015;2670;0;152;6;2;8;4;50;5;0;34
......0841 Gsteig;971;822;0;39;7;4;7;8;30;15;0;4
......0842 Lauenen;812;715;0;31;10;14;2;3;6;4;0;0
......0843 Saanen;6909;5086;0;296;133;94;147;29;564;80;1;25
>> Verwaltungskreis Frutigen-Niedersimmental;39587;36683;1;1024;26;44;142;64;379;42;12;126
......0561 Adelboden;3458;3242;0;67;4;3;11;10;46;1;1;0
......0562 Aeschi bei Spiez;2176;2072;0;48;0;0;1;3;10;2;0;1
......0563 Frutigen;6793;6350;1;149;3;5;14;12;45;3;0;40
......0564 Kandergrund;783;718;0;21;2;0;3;0;10;4;0;14
......0565 Kandersteg;1299;1042;0;49;5;10;6;4;133;2;1;3
......0566 Krattigen;1106;1026;0;38;1;0;4;2;5;1;0;4
......0567 Reichenbach im Kandertal;3508;3352;0;68;2;4;4;6;14;0;0;7
......0761 D?rstetten;835;797;0;22;0;0;1;0;1;0;0;0
......0762 Diemtigen;2134;2060;0;33;0;0;2;0;1;2;0;0
......0763 Erlenbach im Simmental;1701;1610;0;31;0;1;8;2;6;3;0;6
......0766 Oberwil im Simmental;809;777;0;25;0;2;0;1;0;0;0;0
......0768 Spiez;12555;11385;0;412;8;18;80;24;95;22;6;45
......0769 Wimmis;2430;2252;0;61;1;1;8;0;13;2;4;6
>> Verwaltungskreis Interlaken-Oberhasli;47155;39632;2;1808;74;228;518;236;1973;281;22;332
......0571 Beatenberg;1184;985;0;113;0;10;4;6;5;2;0;0
......0572 B?nigen;2524;2328;0;72;3;17;11;10;17;3;0;9
......0573 Brienz (BE);3073;2746;0;114;3;2;27;9;35;12;5;15
......0574 Brienzwiler;478;443;0;17;2;2;6;2;1;0;0;2
......0575 D?rligen;408;364;0;20;0;0;1;1;7;1;0;0
......0576 Grindelwald;3736;3027;0;179;6;21;30;11;320;13;0;5
......0577 Gsteigwiler;406;376;0;16;1;5;2;0;0;1;0;0
......0578 G?ndlischwand;339;296;0;13;0;0;0;0;17;2;0;4
......0579 Habkern;660;606;0;27;0;0;0;4;3;0;0;0
......0580 Hofstetten bei Brienz;535;497;0;26;1;0;1;2;4;0;0;0
......0581 Interlaken;5683;4007;1;204;9;23;128;31;558;45;10;138
......0582 Iseltwald;434;392;0;19;0;1;0;2;8;0;0;0
......0584 Lauterbrunnen;2455;1836;0;101;10;66;28;11;258;12;0;0
......0585 Leissigen;976;900;0;38;0;2;3;0;7;0;0;12
......0586 L?tschental;226;211;0;1;0;1;0;0;5;3;0;0
......0587 Matten bei Interlaken;3833;3189;0;122;8;24;79;20;143;29;0;40
......0588 Niederried bei Interlaken;362;314;0;18;0;3;4;3;1;1;0;0
......0589 Oberried am Brienzersee;457;414;0;27;1;0;1;2;2;1;0;0
......0590 Ringgenberg (BE);2624;2364;0;61;0;6;28;9;36;12;1;16
......0591 Saxeten;96;94;0;1;0;0;0;0;0;1;0;0
......0592 Schwanden bei Brienz;589;559;0;21;0;0;4;1;1;0;0;0
......0593 Unterseen;5691;4785;0;245;7;21;88;25;205;29;1;47
......0594 Wilderswil;2596;2264;0;88;8;16;21;10;43;7;0;30
......0782 Guttannen;306;260;0;10;0;0;1;25;2;1;0;0
......0783 Hasliberg;1162;1018;1;49;2;6;2;5;14;1;0;0
......0784 Innertkirchen;1069;953;0;39;0;0;1;21;19;4;0;0
......0785 Meiringen;4669;3898;0;147;13;1;41;21;229;97;5;14
......0786 Schattenhalb;584;506;0;20;0;1;7;5;33;4;0;0
- Luzern;394604;325336;42;13682;511;743;7180;1531;7173;2022;1569;7180
>> Wahlkreis Luzern-Stadt;81057;61474;12;3993;210;323;2237;431;1762;772;392;853
......1061 Luzern;81057;61474;12;3993;210;323;2237;431;1762;772;392;853
>> Wahlkreis Luzern-Land;98681;81888;6;4119;151;293;1684;506;1344;471;453;1178
......1051 Adligenswil;5349;4815;1;207;14;14;22;29;24;21;2;17
......1052 Buchrain;6161;5056;0;206;9;16;122;34;42;13;40;124
......1053 Dierikon;1440;1196;0;64;3;2;30;11;12;14;6;23
......1054 Ebikon;12781;10127;0;466;11;17;348;73;202;44;162;254
......1055 Gisikon;1134;936;0;54;2;12;12;6;31;6;3;11
......1056 Greppen;1034;861;0;74;0;3;19;10;11;5;6;3
......1057 Honau;381;348;0;5;0;0;5;3;1;0;2;1
......1058 Horw;13813;11467;0;609;32;59;214;60;171;63;29;183
......1059 Kriens;27229;22418;4;926;37;63;632;149;352;189;146;285
......1062 Malters;6923;6130;0;245;10;5;43;21;47;25;11;82
......1063 Meggen;6775;5837;0;393;14;46;70;34;46;14;3;11
......1064 Meierskappel;1351;1167;0;56;1;13;10;6;13;2;1;16
......1065 Root;4736;3559;0;154;6;16;89;20;131;33;41;139
......1066 Schwarzenberg;1686;1578;0;65;0;5;8;3;0;4;0;1
......1067 Udligenswil;2262;2045;1;106;2;5;12;6;7;6;0;8
......1068 Vitznau;1271;966;0;119;4;6;15;10;91;9;0;1
......1069 Weggis;4355;3382;0;370;6;11;33;31;163;23;1;19
>> Wahlkreis Hochdorf;69693;55102;13;1893;71;50;1860;241;1744;490;291;1948
......1021 Aesch (LU);1051;942;0;62;1;0;3;2;2;0;1;9
......1022 Altwis;410;372;0;6;0;0;0;4;0;1;0;0
......1023 Ballwil;2649;2476;0;62;0;2;16;5;14;2;0;8
......1024 Emmen;29292;19539;11;784;35;28;1298;127;1300;378;169;1277
......1025 Ermensee;865;767;0;36;3;0;16;5;5;0;1;12
......1026 Eschenbach (LU);3594;3229;0;123;7;3;46;11;34;7;0;54
......1030 Hitzkirch;5069;4319;0;155;5;4;49;27;21;10;25;131
......1031 Hochdorf;9401;7438;2;270;7;4;283;16;253;53;75;325
......1032 Hohenrain;2481;2317;0;77;3;2;10;5;9;0;0;19
......1033 Inwil;2429;2179;0;69;6;3;22;6;8;8;6;32
......1037 Rain;2533;2395;0;37;1;2;21;5;27;6;1;13
......1039 R?merswil;1669;1580;0;48;1;0;9;6;3;1;0;8
......1040 Rothenburg;7246;6600;0;125;2;2;85;20;68;24;13;60
......1041 Schongau;1004;949;0;39;0;0;2;2;0;0;0;0
>> Wahlkreis Sursee;70296;61368;3;1942;36;42;801;179;986;155;227;1636
......1081 Berom?nster;6234;5491;0;175;1;5;73;8;48;4;14;198
......1082 B?ron;2287;1710;0;72;3;1;35;3;75;8;25;139
......1083 Buttisholz;3272;2875;0;73;1;0;74;4;75;15;0;48
......1084 Eich;1707;1596;0;55;1;7;14;1;7;3;1;1
......1085 Geuensee;2750;2171;1;80;2;0;49;6;40;8;56;116
......1086 Grosswangen;3104;2723;0;69;1;2;23;12;25;6;2;157
......1088 Hildisrieden;2055;1888;1;75;0;1;10;9;10;4;3;10
......1089 Knutwil;2126;1923;0;72;0;2;20;8;18;2;0;25
......1091 Mauensee;1271;1154;0;40;0;0;11;3;3;3;7;20
......1093 Neuenkirch;6484;5824;0;157;6;2;49;30;43;16;1;90
......1094 Nottwil;3476;3092;0;128;1;3;14;15;60;5;7;37
......1095 Oberkirch;4062;3590;0;103;1;1;58;10;57;4;10;58
......1097 Rickenbach (LU);3110;2554;0;124;2;2;44;8;89;8;16;85
......1098 Ruswil;6812;6295;0;114;3;1;52;4;70;8;3;44
......1099 Schenkon;2731;2596;0;57;0;1;6;5;11;6;0;8
......1100 Schlierbach;792;723;0;35;0;0;0;4;1;1;0;14
......1102 Sempach;4171;3841;0;112;3;5;31;10;25;18;0;50
......1103 Sursee;9390;7955;0;260;9;8;158;34;162;31;42;247
......1104 Triengen;4462;3367;1;141;2;1;80;5;167;5;40;289
>> Wahlkreis Willisau;51725;44554;7;1300;25;23;543;125;1183;103;149;1288
......1121 Alberswil;643;569;0;12;0;0;1;1;3;3;12;13
......1122 Altb?ron;974;895;0;31;3;1;1;2;5;0;1;6
......1123 Altishofen;1579;1304;0;20;2;1;3;7;87;6;9;34
......1125 Dagmersellen;5118;4390;1;140;3;1;113;15;168;13;9;113
......1126 Ebersecken;401;383;0;5;0;0;1;1;4;0;0;0
......1127 Egolzwil;1368;1251;0;28;0;2;9;1;9;2;1;16
......1128 Ettiswil;2562;2343;1;72;0;0;6;5;10;2;1;66
......1129 Fischbach;733;659;0;16;0;0;3;0;3;1;0;9
......1130 Gettnau;1088;879;0;43;1;0;7;1;35;4;1;66
......1131 Grossdietwil;838;780;0;18;0;1;3;1;2;0;0;17
......1132 Hergiswil bei Willisau;1869;1761;0;43;0;0;1;2;14;5;4;3
......1135 Luthern;1307;1242;0;29;0;1;1;1;12;0;0;6
......1136 Menznau;2918;2648;0;69;1;1;10;6;28;2;2;55
......1137 Nebikon;2517;1851;2;57;0;2;61;10;186;3;29;89
......1139 Pfaffnau;2304;2045;0;96;1;2;6;12;36;3;1;37
......1140 Reiden;6892;5387;1;218;9;4;171;21;207;36;22;304
......1142 Roggliswil;647;612;0;18;0;3;1;1;4;1;0;0
......1143 Sch?tz;4095;3423;0;103;4;0;23;13;170;7;19;152
......1145 Ufhusen;876;836;0;16;1;0;1;2;1;0;0;0
......1146 Wauwil;1904;1416;0;51;0;1;43;5;36;4;12;115
......1147 Wikon;1470;1247;0;38;0;0;32;7;55;5;8;13
......1150 Zell (LU);1999;1767;0;25;0;0;7;1;38;0;0;58
......1151 Willisau;7623;6866;2;152;0;3;39;10;70;6;18;116
>> Wahlkreis Entlebuch;23152;20950;1;435;18;12;55;49;154;31;57;277
......1001 Doppleschwand;743;707;0;13;0;0;0;0;0;1;0;15
......1002 Entlebuch;3325;3102;0;55;0;0;6;1;22;5;5;16
......1004 Fl?hli;1880;1555;0;35;5;5;1;4;25;2;2;0
......1005 Hasle (LU);1778;1692;0;20;1;0;7;1;1;7;0;1
......1007 Romoos;663;653;0;7;0;0;0;1;0;0;0;0
......1008 Sch?pfheim;4111;3780;0;72;3;2;6;15;10;0;5;23
......1009 Werthenstein;2035;1769;0;31;0;1;19;7;22;7;18;33
......1010 Escholzmatt-Marbach;4323;4071;0;48;2;1;3;4;14;0;4;43
......1107 Wolhusen;4294;3621;1;154;7;3;13;16;60;9;23;146
- Uri;36008;31864;5;894;17;30;390;240;775;45;185;119
>> Kanton Uri;36008;31864;5;894;17;30;390;240;775;45;185;119
......1201 Altdorf (UR);9141;7857;0;236;3;4;189;37;158;11;112;17
......1202 Andermatt;1408;1101;1;89;0;14;17;16;80;7;0;0
......1203 Attinghausen;1606;1508;0;26;0;0;6;3;36;0;2;4
......1204 Bauen;164;147;0;13;0;0;0;2;0;1;0;0
......1205 B?rglen (UR);3980;3738;0;79;4;4;8;18;12;1;16;2
......1206 Erstfeld;3786;3044;1;83;2;0;72;18;207;9;32;32
......1207 Fl?elen;1959;1699;0;43;0;1;27;9;48;3;2;40
......1208 G?schenen;436;368;0;11;0;1;2;13;27;5;0;0
......1209 Gurtnellen;573;523;0;8;0;0;0;2;27;0;0;0
......1210 Hospental;196;173;0;10;0;0;0;1;7;0;0;0
......1211 Isenthal;514;508;0;4;0;0;0;0;0;0;0;0
......1212 Realp;143;134;0;4;0;0;1;0;1;1;0;0
......1213 Schattdorf;5058;4663;0;92;1;1;32;11;71;3;20;23
......1214 Seedorf (UR);1816;1712;0;27;1;0;16;8;20;3;0;0
......1215 Seelisberg;679;576;0;50;5;5;8;4;2;0;0;0
......1216 Silenen;2164;1895;0;76;1;0;5;86;29;1;0;0
......1217 Sisikon;397;332;2;24;0;0;4;2;1;0;1;1
......1218 Spiringen;848;835;0;4;0;0;0;3;0;0;0;0
......1219 Untersch?chen;704;691;0;5;0;0;2;0;5;0;0;0
......1220 Wassen;436;360;1;10;0;0;1;7;44;0;0;0
- Schwyz;152759;122299;15;7566;388;692;3239;1020;1551;468;842;2729
>> Bezirk Einsiedeln;14949;12735;0;622;31;40;161;90;93;33;15;174
......1301 Einsiedeln;14949;12735;0;622;31;40;161;90;93;33;15;174
>> Bezirk Gersau;2213;1781;0;211;3;8;30;15;11;12;8;9
......1311 Gersau;2213;1781;0;211;3;8;30;15;11;12;8;9
>> Bezirk H?fe;28028;20884;2;2084;204;354;633;337;215;132;159;336
......1321 Feusisberg;4986;3706;1;507;31;73;57;74;42;33;48;7
......1322 Freienbach;15981;11714;1;1067;122;196;437;182;143;78;99;279
......1323 Wollerau;7061;5464;0;510;51;85;139;81;30;21;12;50
>> Bezirk K?ssnacht (SZ);12395;9826;3;638;24;48;268;62;373;47;17;229
......1331 K?ssnacht (SZ);12395;9826;3;638;24;48;268;62;373;47;17;229
>> Bezirk March;41575;32368;8;2057;77;165;1235;342;457;132;384;934
......1341 Altendorf;6666;5307;0;382;19;65;138;70;85;33;31;38
......1342 Galgenen;5097;4118;0;278;5;13;121;40;46;13;33;89
......1343 Innerthal;190;180;0;7;0;0;0;2;0;0;0;0
......1344 Lachen;8226;5819;0;577;25;50;391;84;75;32;75;249
......1345 Reichenburg;3418;2649;0;142;3;5;67;22;36;10;37;102
......1346 Sch?belbach;8921;6495;7;347;8;14;324;64;126;35;174;350
......1347 Tuggen;3224;2730;1;123;7;5;73;23;24;6;22;58
......1348 Vorderthal;1032;937;0;43;2;0;7;6;11;0;0;1
......1349 Wangen (SZ);4801;4133;0;158;8;13;114;31;54;3;12;47
>> Bezirk Schwyz;53599;44705;2;1954;49;77;912;174;402;112;259;1047
......1361 Alpthal;598;553;0;27;0;1;0;2;0;0;0;0
......1362 Arth;11301;8336;0;520;18;22;260;41;110;28;85;595
......1363 Illgau;790;774;0;6;0;0;0;1;1;0;0;0
......1364 Ingenbohl;8659;6949;0;358;2;21;275;39;43;16;41;124
......1365 Lauerz;1077;995;0;36;0;3;4;3;7;0;0;3
......1366 Morschach;1123;913;0;100;2;1;14;6;13;1;4;4
......1367 Muotathal;3485;3302;0;46;4;0;3;7;0;0;1;59
......1368 Oberiberg;890;786;0;53;3;5;0;1;1;7;3;0
......1369 Riemenstalden;90;85;0;4;0;0;0;0;0;0;0;0
......1370 Rothenthurm;2292;1984;0;76;0;0;17;4;9;5;21;23
......1371 Sattel;1888;1665;0;119;0;9;4;4;18;0;1;0
......1372 Schwyz;14880;12322;2;430;7;13;287;46;183;46;97;218
......1373 Steinen;3295;3029;0;87;2;0;39;6;9;7;3;15
......1374 Steinerberg;911;841;0;20;4;0;7;4;3;1;3;4
......1375 Unteriberg;2320;2171;0;72;7;2;2;10;5;1;0;2
- Obwalden;36834;31609;3;1340;53;86;344;125;988;87;109;253
>> Kanton Obwalden;36834;31609;3;1340;53;86;344;125;988;87;109;253
......1401 Alpnach;5834;4935;0;186;5;5;68;6;189;11;33;50
......1402 Engelberg;4053;3019;0;256;19;39;28;28;197;33;3;31
......1403 Giswil;3558;3190;0;98;0;7;10;9;120;8;3;36
......1404 Kerns;6000;5448;3;180;5;1;22;15;52;2;15;39
......1405 Lungern;2113;1885;0;71;4;6;6;20;28;5;1;2
......1406 Sachseln;5044;4383;0;217;10;13;59;19;125;7;5;25
......1407 Sarnen;10232;8749;0;332;10;15;151;28;277;21;49;70
- Nidwalden;42080;36363;4;1758;77;238;589;229;568;103;118;277
>> Kanton Nidwalden;42080;36363;4;1758;77;238;589;229;568;103;118;277
......1501 Beckenried;3452;3026;0;181;5;36;27;14;41;6;1;6
......1502 Buochs;5398;4605;1;187;2;60;49;14;55;20;22;53
......1503 Dallenwil;1828;1667;0;59;1;4;9;8;24;2;0;23
......1504 Emmetten;1363;1107;0;131;9;20;24;7;27;3;0;0
......1505 Ennetb?rgen;4549;3936;0;230;14;22;59;12;46;15;6;23
......1506 Ennetmoos;2103;1887;0;80;7;12;23;10;6;2;15;2
......1507 Hergiswil (NW);5611;4453;3;343;27;27;138;95;105;25;20;43
......1508 Oberdorf (NW);3081;2883;0;51;3;9;10;6;48;2;6;13
......1509 Stans;8207;7190;0;222;7;22;145;27;105;16;22;46
......1510 Stansstad;4381;3717;0;221;2;20;100;32;65;11;25;23
......1511 Wolfenschiessen;2107;1892;0;53;0;6;5;4;46;1;1;45
- Glarus;39794;30798;3;1310;26;28;1777;265;1236;213;541;786
>> Kanton Glarus;39794;30798;3;1310;26;28;1777;265;1236;213;541;786
......1630 Glarus Nord;17587;13548;2;535;7;6;791;98;572;57;261;372
......1631 Glarus S?d;9761;7999;0;433;16;17;262;116;220;53;72;72
......1632 Glarus;12446;9251;1;342;3;5;724;51;444;103;208;342
- Zug;120089;88446;9;6497;776;2041;2957;868;2004;981;1067;1296
>> Kanton Zug;120089;88446;9;6497;776;2041;2957;868;2004;981;1067;1296
......1701 Baar;23228;16691;2;974;129;388;764;148;636;189;389;304
......1702 Cham;15523;11830;2;830;62;167;362;84;172;138;207;176
......1703 H?nenberg;8841;7386;0;454;40;101;110;47;61;39;38;35
......1704 Menzingen;4380;3552;0;206;21;40;72;19;59;15;25;60
......1705 Neuheim;2018;1591;0;91;17;72;33;25;31;6;3;10
......1706 Ober?geri;5950;4444;0;515;41;147;35;37;67;29;5;38
......1707 Risch;10036;7396;2;477;36;70;297;94;258;44;85;201
......1708 Steinhausen;9427;7231;0;397;53;75;307;56;148;78;64;65
......1709 Unter?geri;8477;6392;0;465;52;187;118;60;145;48;9;87
......1710 Walchwil;3606;2408;0;345;43;158;41;39;38;15;6;23
......1711 Zug;28603;19525;3;1743;282;636;818;259;389;380;236;297
- Fribourg / Freiburg;303377;238449;57;3161;7957;625;4188;337;23648;2478;1721;3903
