Canton (-) / District (>>) / Commune (......);Nationalit? - Total;Suisse;Albanie;Allemagne;France;Royaume-Uni;Italie;Autriche;Portugal;Espagne;Turquie;Kosovo
......0099 Sch?fflisdorf;1389;1163;0;58;1;5;29;10;26;7;9;0
......0100 Stadel;2160;1894;0;86;2;12;26;6;21;7;0;20
......0101 Steinmaur;3393;2578;1;222;5;6;67;16;82;25;13;45
......0102 Weiach;1158;934;0;83;2;9;42;2;0;0;1;17
>> Bezirk Hinwil;92462;74692;14;3444;108;162;3298;594;1971;444;849;1519
......0111 B?retswil;4993;4479;0;199;6;8;74;22;29;4;5;35
......0112 Bubikon;6974;6231;0;223;8;11;126;37;53;17;24;18
......0113 D?rnten;7403;6092;0;260;15;15;194;76;89;17;54;145
......0114 Fischenthal;2323;2041;0;110;3;4;25;9;25;4;2;2
......0115 Gossau (ZH);9773;8411;0;327;10;25;234;50;209;31;13;56
......0116 Gr?ningen;3373;2935;0;132;9;8;80;24;34;8;4;7
......0117 Hinwil;10799;9033;1;361;17;22;289;55;187;34;66;188
......0118 R?ti (ZH);12010;9260;5;398;10;13;613;80;208;58;174;273
......0119 Seegr?ben;1398;1157;0;82;0;11;18;8;18;15;15;8
......0120 Wald (ZH);9478;6976;2;414;4;9;437;63;373;84;139;263
......0121 Wetzikon (ZH);23938;18077;6;938;26;36;1208;170;746;172;353;524
>> Bezirk Horgen;121220;89394;20;7794;654;1788;4601;1045;1245;869;882;1266
......0131 Adliswil;18448;12175;4;1329;110;241;880;185;485;179;138;159
......0132 Hirzel;2134;1845;0;113;7;24;29;15;8;2;4;8
......0133 Horgen;20033;13992;6;1321;112;318;937;192;237;157;244;437
......0134 H?tten;907;842;0;17;0;7;5;1;0;2;0;0
......0135 Kilchberg (ZH);7873;5530;3;812;68;181;181;84;33;63;17;18
......0136 Langnau am Albis;7426;5532;4;374;45;77;386;45;97;53;31;106
......0137 Oberrieden;5031;4070;0;252;30;64;131;38;17;29;30;13
......0138 Richterswil;13035;10464;0;774;36;130;400;102;76;43;74;110
......0139 R?schlikon;5573;3979;0;412;71;160;144;52;41;51;24;19
......0140 Sch?nenberg (ZH);1884;1659;0;67;4;34;15;7;4;1;0;3
......0141 Thalwil;17631;12901;3;1147;114;349;746;169;88;153;124;153
......0142 W?denswil;21245;16405;0;1176;57;203;747;155;159;136;196;240
>> Bezirk Meilen;99946;78487;8;6610;505;1178;2190;900;1323;657;161;361
......0151 Erlenbach (ZH);5449;4312;0;363;27;71;115;50;39;68;9;7
......0152 Herrliberg;6242;4912;0;493;39;75;56;90;28;38;8;3
......0153 Hombrechtikon;8430;6745;2;376;16;48;255;27;363;28;18;90
......0154 K?snacht (ZH);13849;10435;0;1048;123;236;256;138;152;118;18;31
......0155 M?nnedorf;10537;8523;1;707;20;98;229;96;91;56;17;39
......0156 Meilen;13239;10394;0;904;61;193;275;124;136;88;27;55
......0157 Oetwil am See;4599;3279;0;324;11;10;166;37;180;20;9;61
......0158 St?fa;13955;11401;5;757;36;117;368;97;91;69;16;51
......0159 Uetikon am See;5962;4866;0;364;10;70;114;57;69;39;2;9
......0160 Zumikon;5151;3951;0;276;47;100;141;36;31;39;9;1
......0161 Zollikon;12533;9669;0;998;115;160;215;148;143;94;28;14
>> Bezirk Pf?ffikon;58397;47673;10;2371;76;134;1839;307;633;280;451;681
......0171 Bauma;4372;3672;0;152;2;4;72;18;81;16;23;34
......0172 Fehraltorf;6317;5229;1;223;13;12;180;30;156;46;46;58
......0173 Hittnau;3644;3330;0;119;4;13;48;22;8;22;2;1
......0174 Illnau-Effretikon;16288;12152;5;710;24;20;657;116;229;91;204;373
......0175 Kyburg;405;370;0;18;0;3;6;1;1;0;0;0
......0176 Lindau;5388;4261;3;253;6;14;265;16;26;21;29;71
......0177 Pf?ffikon;11275;9154;0;455;20;39;466;60;61;54;113;115
......0178 Russikon;4202;3675;1;166;3;16;57;18;37;13;18;11
......0179 Sternenberg;350;327;0;13;0;1;0;1;0;0;0;0
......0180 Weisslingen;3241;2929;0;103;2;12;39;13;15;9;11;11
......0181 Wila;1921;1665;0;102;0;0;38;10;19;8;5;7
......0182 Wildberg;994;909;0;57;2;0;11;2;0;0;0;0
>> Bezirk Uster;126004;95277;16;6861;1064;728;4395;1061;2388;959;1095;1881
......0191 D?bendorf;26317;17710;9;1570;589;152;1182;198;960;331;270;481
......0192 Egg;8336;6740;0;447;47;100;190;119;114;45;32;27
......0193 F?llanden;8192;6405;0;555;84;67;167;72;90;34;37;67
......0194 Greifensee;5309;4298;1;309;16;15;97;42;21;44;18;66
......0195 Maur;9738;7802;0;614;85;147;168;87;100;32;16;31
......0196 M?nchaltorf;3633;3073;0;168;1;11;61;25;50;18;17;38
......0197 Schwerzenbach;5004;3744;0;315;20;27;163;56;75;42;59;49
......0198 Uster;33412;25982;5;1645;112;149;1294;234;582;276;308;474
......0199 Volketswil;18437;13946;0;862;67;40;713;172;260;96;259;500
......0200 Wangen-Br?ttisellen;7626;5577;1;376;43;20;360;56;136;41;79;148
>> Bezirk Winterthur;161863;129230;40;6975;295;327;5790;1037;1328;881;2164;1745
......0211 Altikon;667;603;0;36;0;1;4;5;0;2;1;0
......0213 Br?tten;2030;1889;0;60;3;11;5;7;2;5;0;1
......0214 D?gerlen;980;901;0;38;1;0;3;3;1;5;0;1
......0215 D?ttlikon;762;686;0;35;0;1;15;6;2;2;0;0
......0216 Dinhard;1490;1360;0;47;4;4;13;6;0;6;0;1
......0217 Elgg;4146;3448;1;168;0;1;79;26;21;21;10;43
......0218 Ellikon an der Thur;905;793;0;44;0;1;7;2;6;0;3;0
......0219 Elsau;3472;2908;0;137;3;13;100;11;40;20;22;39
......0220 Hagenbuch;1111;997;0;36;0;0;20;3;1;3;1;0
......0221 Hettlingen;3066;2805;0;89;5;6;29;22;1;3;4;13
......0222 Hofstetten (ZH);482;458;0;8;0;1;2;2;0;2;0;0
......0223 Neftenbach;5504;4919;0;192;4;10;123;26;10;18;15;22
......0224 Pfungen;3651;2705;1;248;12;11;165;55;20;15;109;76
......0225 Rickenbach (ZH);2562;2286;0;106;3;2;48;14;2;7;1;5
......0226 Schlatt (ZH);754;702;0;21;0;2;4;3;0;2;0;0
......0227 Seuzach;7240;6287;1;218;4;16;186;46;73;21;13;41
......0228 Turbenthal;4444;3634;2;173;6;9;143;20;44;15;33;52
......0230 Winterthur;106778;81752;35;4844;234;230;4514;729;1053;676;1876;1381
......0231 Zell (ZH);5696;4477;0;276;14;6;240;25;41;50;67;65
